ComStar,,,,,,,
,,,,,,,
Collection:SLRoyal,166,,166,,127,,111
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3025-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,
mechdef_wasp_WSP-1A,28,,28,Jump:3052-05-20T00:00:00Z,19,,18
mechdef_stinger_STG-5M,0,,0,3052-06-01T00:00:00Z,21,,30
mechdef_mercury_MCY-97,0,3049-01-01T00:00:00Z,9,Jump:3052-05-20T00:00:00Z,15,,17
mechdef_ostscout_OTT-7K,0,,0,3052-06-01T00:00:00Z,21,,30
mechdef_wasplam_WSP-100,19,,19,,0,,0
mechdef_raptor_RTX-OD,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_urbanmech_UM-R63,0,,0,3050-01-01T00:00:00Z,5,,8
mechdef_thorn_THE-N,85,,85,Jump:3052-05-20T00:00:00Z,59,,14
mechdef_mercury_MCY-99,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_ostscout_OTT-7J,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_raptor_RTX-OE,0,,0,,0,3058-01-01T00:00:00Z,9
mechdef_falcon_FLC-4N,64,,64,Jump:3052-05-20T00:00:00Z,44,,40
mechdef_raptor_RTX-OB,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_hussar_HSR-400-D,0,,0,3052-01-01T00:00:00Z,34,,41
mechdef_spider_SDR-5V,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_hussar_HSR-200-D,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_nexus_NXS1-A,0,,0,3054-1-01T00:00:00Z,15,,17
mechdef_owens_OW-1D,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_thorn_THE-N1,0,,0,3051-01-01T00:00:00Z,48,,65
mechdef_tarantula_ZPH-1,0,,0,3054-01-01T00:00:00Z,27,,13
mechdef_owens_OW-1A,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_firestarter_FS9-H,30,,30,Jump:3052-05-20T00:00:00Z,21,,18
mechdef_hermes_HER-1S,17,,17,Jump:3052-05-20T00:00:00Z,12,,11
mechdef_raptor_RTX-O,0,,0,3052-06-01T00:00:00Z,19,,31
mechdef_tarantula_ZPH-2A,0,,0,,0,3060-01-01T00:00:00Z,7
mechdef_owens_OW-1B,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_mongoose_MON-66,200,,200,Jump:3052-05-20T00:00:00Z,139,,131
mechdef_firestarter_FS9-S,0,,0,3052-06-01T00:00:00Z,26,,38
mechdef_firestarter_FS9-A,17,,17,Jump:3052-05-20T00:00:00Z,12,,11
mechdef_raptor_RTX-OA,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_firefly_FFL-3A,85,,85,Jump:3052-05-20T00:00:00Z,59,,52
mechdef_venom_SDR-9K,0,,0,3050-01-01T00:00:00Z,21,,30
mechdef_firefly_FFL-4C,0,3048-01-01T00:00:00Z,9,,15,,17
mechdef_wasplam_WSP-105,28,,25,,0,,0
mechdef_firestarter_FS9-S1,0,,0,3052-06-01T00:00:00Z,16,,22
mechdef_owens_OW-1E,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_owens_OW-1,0,,0,3056-11-01T00:00:00Z,5,,20
mechdef_scarabus_SCB-9A,0,,0,3053-01-01T00:00:00Z,12,,21
mechdef_raptor_RTX-OC,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_stingerlam_STG-A10,6,,5,,0,,0
mechdef_jackal_JA-KL-1532,0,,0,3052-01-01T00:00:00Z,15,,24
mechdef_hitman_HM-1,0,,0,3055-01-01T00:00:00Z,6,,15
mechdef_owens_OW-1C,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_nighthawk_NTK-2Q,85,,85,Jump:3052-05-20T00:00:00Z,59,,52
mechdef_hermes_HER-4S,0,,0,3056-11-01T00:00:00Z,3,,12
mechdef_raptor_RTX-OF,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_falconhawk_FNHK-9K1A,0,,0,,0,3057-01-01T00:00:00Z,12
mechdef_stingerlam_STG-A5,11,,10,,0,,0
mechdef_talon_TLN-5V,200,,200,Jump:3052-05-20T00:00:00Z,139,,131
mechdef_spector_SPR-5F,0,,0,3053-01-01T00:00:00Z,15,,27
Mediums,,,,,,,
mechdef_cicada_CDA-2A,23,,23,Jump:3052-05-20T00:00:00Z,16,,14
mechdef_sentinel_STN-3L,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_cicada_CDA-3M,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_whitworth_WTH-2,0,,0,3050-01-01T00:00:00Z,36,,53
mechdef_trebuchet_TBT-5S,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_firestarter_FS9-OA,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_whitworth_WTH-1,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_hoplite_HOP-4C,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_firestarter_FS9-OE,0,,0,,0,3058-01-01T00:00:00Z,8
mechdef_wyvern_WVE-6N,0,,0,3052-06-01T00:00:00Z,30,,50
mechdef_firestarter_FS9-OC,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_scorpion_SCP-1N,8,,4,,3,,2
mechdef_phoenixhawk_PXH-1,86,,86,Jump:3052-05-20T00:00:00Z,60,,52
mechdef_hunchback_HBK-4G,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_hunchback_HBK-5N,0,,0,,0,3057-01-01T00:00:00Z,20
mechdef_hunchback_HBK-5M,0,,0,3052-06-01T00:00:00Z,13,,0
mechdef_shadowhawk_SHD-2H,86,,86,Jump:3052-05-20T00:00:00Z,57,,49
mechdef_wyvern_WVE-9N,0,,0,3052-01-01T00:00:00Z,36,,63
mechdef_firestarter_FS9-OB,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_wyvern_WVE-5N,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_scorpion_SCP-1O,0,3049-01-01T00:00:00Z,7,,13,,7
mechdef_wolverine_WVR-6R,86,,86,Jump:3052-05-20T00:00:00Z,60,,52
mechdef_firestarter_FS9-O,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_phoenixhawk_PXH-2,23,,23,Jump:3052-05-20T00:00:00Z,16,,14
mechdef_dervish_DV-6M,114,,114,Jump:3052-05-20T00:00:00Z,79,,70
mechdef_blackjack_BJ-2,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_kintaro_KTO-19,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_blackjack_BJ2-OC,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_trebuchet_TBT-5N,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_crab_CRB-27_actual,6,,6,Jump:3052-05-20T00:00:00Z,4,,4
mechdef_blackjack_BJ2-O,0,,0,,0,3057-01-01T00:00:00Z,17
mechdef_wyvern_WVE-5Nsl,14,,14,Jump:3052-05-20T00:00:00Z,10,,9
mechdef_lineholder_KW1-LH3,0,,0,,0,3059-01-01T00:00:00Z,5
mechdef_chameleon_CLN-7W,0,,0,,0,3058-01-01T00:00:00Z,8
mechdef_enfield_END-6Q,0,,0,3055-01-01T00:00:00Z,5,,12
mechdef_griffin_GRF-1N,23,,23,Jump:3052-05-20T00:00:00Z,16,,14
mechdef_lineholder_KW1-LH2,0,,0,,0,3058-01-01T00:00:00Z,8
mechdef_kyudo_KY2-D-02,40,,40,Jump:3052-05-20T00:00:00Z,28,,24
mechdef_galahad_GLH-1D,20,,20,Jump:3052-05-20T00:00:00Z,14,,12
mechdef_phoenixhawk_PXH-3M,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_blackjack_BJ2-OA,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_beowulf_BEO-12,0,,0,,0,3059-01-01T00:00:00Z,12
mechdef_firestarter_FS9-OD,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_blackjack_BJ2-OB,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_cicada_CDA-3F,0,,0,3052-01-01T00:00:00Z,21,,35
mechdef_trebuchet_TBT-3C,3,,3,,2,,2
mechdef_raijin_RJN101-A,0,,0,3053-01-01T00:00:00Z,30,,37
mechdef_kintaro_KTO-20,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_blackjack_BJ2-OD,0,,0,,0,3057-01-01T00:00:00Z,10
mechdef_shadowhawk_SHD-5M,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_shadowhawk_SHD-2Ht,0,,0,Jump:3052-05-01T00:00:00Z,3,,3
mechdef_phoenixhawklam_PHX-HK2M,2,,2,,0,,0
mechdef_grimreaper_GRM-R-PR29,0,,0,3052-06-01T00:00:00Z,30,,37
mechdef_griffin_GRF-3M,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_chameleon_CLN-7Z,0,,0,,0,3058-01-01T00:00:00Z,8
mechdef_phoenixhawklam_PHX-HK2,3,,2,,0,,0
mechdef_griffin_GRF-4N,114,,114,Jump:3052-05-20T00:00:00Z,79,,70
Heavies,,,,,,,
mechdef_rifleman_RFL-5M,0,,0,3052-06-01T00:00:00Z,8,,16
mechdef_ostroc_OSR-2C,21,,21,Jump:3052-05-20T00:00:00Z,15,,8
mechdef_champion_CHP-1N,36,,36,Jump:3052-05-20T00:00:00Z,25,,22
mechdef_champion_CHP-1N2,16,,16,Jump:3052-05-20T00:00:00Z,11,,10
mechdef_quickdraw_QKD-5M,0,,0,3052-06-01T00:00:00Z,11,,19
mechdef_ostsol_OTL-5M,0,,0,3050-01-01T00:00:00Z,10,,10
mechdef_catapult_CPLT-A1,16,,16,Jump:3052-05-20T00:00:00Z,11,,10
mechdef_warhammer_WHM-6R,52,,52,Jump:3052-05-20T00:00:00Z,33,,29
mechdef_warhammer_WHM-6R-DC,0,,34,Jump:3052-05-20T00:00:00Z,24,,21
mechdef_ostsol_OTL-4D,21,,21,Jump:3052-05-20T00:00:00Z,15,,4
mechdef_rifleman_RFL-5CS,0,,0,Jump:3052-05-01T00:00:00Z,3,,3
mechdef_thunderbolt_TDR-5S,52,,52,Jump:3052-05-20T00:00:00Z,36,,32
mechdef_catapult_CPLT-C4,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_grasshopper_GHR-C,0,,0,3052-01-01T00:00:00Z,11,,22
mechdef_catapult_CPLT-C3,0,,0,3052-06-01T00:00:00Z,7,,13
mechdef_lancelot_LNC25-05,21,,21,Jump:3052-05-20T00:00:00Z,15,,13
mechdef_helepolis_HEP-3H,21,,21,Jump:3052-05-20T00:00:00Z,15,,13
mechdef_exterminator_EXT-4D,16,,16,Jump:3052-05-20T00:00:00Z,11,,10
mechdef_avatar_AV1-O,0,,0,3052-06-01T00:00:00Z,18,,29
mechdef_ostroc_OSR-2D,0,,0,3050-01-01T00:00:00Z,5,,5
mechdef_catapult_CPLT-C1,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_champion_CHP-3N,0,,0,3052-01-01T00:00:00Z,34,,34
mechdef_avatar_AV1-OC,0,,0,3052-06-01T00:00:00Z,14,,22
mechdef_crusader_CRD-5M,0,,0,3052-06-01T00:00:00Z,11,,19
mechdef_orion_ON1-M,0,,0,3052-06-01T00:00:00Z,11,,19
mechdef_orion_ON1-M-DC,0,,0,3053-01-01T00:00:00Z,11,,19
mechdef_guillotine_GLT-3N,103,,103,Jump:3052-05-20T00:00:00Z,72,,63
mechdef_marauder_MAD-1R,66,,66,Jump:3052-05-20T00:00:00Z,43,,38
mechdef_lancelot_LNC25-01,78,,78,Jump:3052-05-20T00:00:00Z,54,,48
mechdef_orion_ON1-K,52,,52,Jump:3052-05-20T00:00:00Z,36,,32
mechdef_marauder_MAD-5M,0,,0,3051-01-01T00:00:00Z,13,,21
mechdef_avatar_AV1-OD,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_archer_ARC-2R,52,,52,Jump:3052-05-20T00:00:00Z,33,,29
mechdef_bombardier_BMB-12D,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_avatar_AV1-OA,0,,0,3052-06-01T00:00:00Z,14,,22
mechdef_warhammer_WHM-7M,0,,0,3052-06-01T00:00:00Z,11,,19
mechdef_thunderbolt_TDR-7M,0,,0,3052-06-01T00:00:00Z,11,,19
mechdef_avatar_AV1-OB,0,,0,3052-06-01T00:00:00Z,14,,22
mechdef_orion_ON1-MA,0,,0,3052-01-01T00:00:00Z,14,,22
mechdef_shootist_ST-8A,50,,50,Jump:3052-05-20T00:00:00Z,35,,31
mechdef_crusader_CRD-1R,34,,34,Jump:3052-05-20T00:00:00Z,24,,21
mechdef_exterminator_EXT-5E,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_crusader_CRD-2R,103,,103,Jump:3052-05-20T00:00:00Z,72,,63
mechdef_excalibur_EXC-B2,36,,36,Jump:3052-05-20T00:00:00Z,25,,22
mechdef_excalibur_EXC-B1,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_blackknight_BL-6-KNT,78,,78,Jump:3052-05-20T00:00:00Z,27,,27
mechdef_caesar_CES-3R,0,,0,3052-06-01T00:00:00Z,18,,29
mechdef_archer_ARC-5CS,0,,0,Jump:3052-05-01T00:00:00Z,3,,3
mechdef_helios_HEL-3D,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_marauder_MAD-2R,12,,12,Jump:3052-05-20T00:00:00Z,8,,8
mechdef_excalibur_EXC-C1,0,,0,,0,3058-01-01T00:00:00Z,10
mechdef_galahad_GLH-2D,78,,78,Jump:3052-05-20T00:00:00Z,54,,48
mechdef_marauder_MAD-5CS,0,,0,Jump:3052-05-01T00:00:00Z,3,,3
mechdef_blackknight_BL-9-KNT,0,,0,3052-01-01T00:00:00Z,30,,30
mechdef_gallowglas_GAL-1GLS,0,,0,3055-01-01T00:00:00Z,4,,12
mechdef_cestus_CTS-6Y,3,,3,3052-06-01T00:00:00Z,14,,22
mechdef_warhammer_WHM-7CS,0,,0,Jump:3052-05-01T00:00:00Z,3,,3
mechdef_flashman_FLS-8K,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_wardog_WR-DG-02FC,0,,0,3052-06-01T00:00:00Z,9,,19
mechdef_gallowglas_GAL-2GLS,0,,0,3055-01-01T00:00:00Z,4,,12
mechdef_falconer_FLC-8R,0,,0,3053-01-01T00:00:00Z,17,,31
Assaults,,,,,,,
mechdef_victor_VTR-9A,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_victor_VTR-9A1,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_cyclops_CP-10-Z,15,,15,Jump:3052-05-20T00:00:00Z,10,,10
mechdef_cyclops_CP-10-Z-DC,0,,3,Jump:3052-05-20T00:00:00Z,2,,2
mechdef_victor_VTR-9B,51,,51,Jump:3052-05-20T00:00:00Z,35,,35
mechdef_longbow_LGB-0W,32,,32,Jump:3052-05-20T00:00:00Z,22,,21
mechdef_longbow_LGB-0W2,11,,11,Jump:3052-05-20T00:00:00Z,7,,7
mechdef_banshee_BNC-3E,51,,51,Jump:3052-05-20T00:00:00Z,35,,35
mechdef_goliath_GOL-1H,8,,7,,4,,4
mechdef_striker_STC-2C,51,,51,Jump:3052-05-20T00:00:00Z,35,,35
mechdef_battlemaster_BLR-1G,51,,51,Jump:3052-05-20T00:00:00Z,35,,35
mechdef_battlemaster_BLR-1G-DC,0,3049-01-01T00:00:00Z,4,,7,,10
mechdef_cyclops_CP-11-A,0,,0,3052-06-01T00:00:00Z,7,,12
mechdef_cyclops_CP-11-A-DC,0,,0,3052-06-01T00:00:00Z,3,,6
mechdef_stalker_STK-4N,0,3049-01-01T00:00:00Z,3,,6,,9
mechdef_stalker_STK-3F,152,,152,Jump:3052-05-20T00:00:00Z,106,,103
mechdef_battlemaster_BLR-2C,4,,4,Jump:3052-05-20T00:00:00Z,5,,5
mechdef_battlemaster_BLR-1Gc,3,,3,Jump:3052-05-20T00:00:00Z,2,,2
mechdef_cyclops_CP-10-Q,0,,0,3052-06-01T00:00:00Z,7,,12
mechdef_awesome_AWS-8Q,102,,102,Jump:3052-05-20T00:00:00Z,71,,35
mechdef_longbow_LGB-7Q,21,,21,Jump:3052-05-20T00:00:00Z,15,,15
mechdef_stalker_STK-3H,36,,36,Jump:3052-05-20T00:00:00Z,25,,24
mechdef_thug_THG-11E,102,,102,Jump:3052-05-20T00:00:00Z,71,,69
mechdef_longbow_LGB-8C,32,,32,Jump:3052-05-20T00:00:00Z,22,,22
mechdef_battlemaster_BLR-3M-DC,0,,0,3053-01-01T00:00:00Z,3,,6
mechdef_stalker_STK-5M,0,,0,3050-01-01T00:00:00Z,13,,21
mechdef_o-bakemono_OBK-M10,0,,0,,0,3058-01-01T00:00:00Z,6
mechdef_battlemaster_BLR-3M,0,3049-01-01T00:00:00Z,3,,16,,24
mechdef_cyclops_CP-10-HQ,4,,4,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_awesome_AWS-9M,0,,0,3052-06-01T00:00:00Z,10,,18
mechdef_longbow_LGB-7V,0,,0,3056-01-01T00:00:00Z,3,,11
mechdef_grandtitan_T-IT-N10M,0,,0,3054-01-01T00:00:00Z,6,,19
mechdef_atlas_AS7-RS,0,,0,3052-06-01T00:00:00Z,10,,33
mechdef_awesome_AWS-9Q,0,,0,,0,3057-01-01T00:00:00Z,35
mechdef_atlas_AS7-D,3,,3,Jump:3052-05-20T00:00:00Z,2,,2
mechdef_atlas_AS7-D-DC,0,,3,Jump:3052-05-20T00:00:00Z,2,,2
mechdef_kingcrab_KGC-000,10,,10,Jump:3052-05-20T00:00:00Z,7,,7
mechdef_crockett_CRK-5003-1,36,,36,Jump:3052-05-20T00:00:00Z,25,,24
mechdef_cyclops_CP-11-G,0,,0,,0,3058-01-01T00:00:00Z,10
mechdef_cerberus_MR-V2,0,,0,3054-01-01T00:00:00Z,10,,20
mechdef_shogun_SHG-2H,3,,3,Jump:3052-05-20T00:00:00Z,2,,2
mechdef_mackie_MSK-9H,5,,5,Jump:3052-05-20T00:00:00Z,3,,3
mechdef_viking_VKG-2F,0,,0,,0,3059-01-01T00:00:00Z,9
mechdef_viking_VKG-2G,0,,0,,0,3060-01-01T00:00:00Z,6
mechdef_atlas_AS7-K,0,,0,3052-06-01T00:00:00Z,16,,26
mechdef_atlas_AS7-K-DC,0,,0,3050-01-01T00:00:00Z,5,,8
mechdef_kingcrab_KGC-001,0,,0,3052-01-01T00:00:00Z,33,,39
mechdef_highlander_HGN-732,152,,152,Jump:3052-05-20T00:00:00Z,106,,103
mechdef_nightstar_NSR-9J,3,,3,Jump:3052-05-20T00:00:00Z,2,,2
mechdef_thunderhawk_TDK-7X,3,,3,Jump:3052-05-20T00:00:00Z,2,,2
mechdef_pillager_PLG-3Z,75,,75,Jump:3052-05-20T00:00:00Z,52,,52