MarikLocals,,,,,,,
Salvage:LiaoLocals,50,,50,,50,,50
Salvage:SteinerLocals,50,,50,,50,,50
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z
Lights,,,,,,,
mechdef_trooper_TP-1R,3,,3,,3,,3
mechdef_flea_FLE-14,46,,46,,26,,24
mechdef_stinger_STG-3R,179,,179,,187,,183
mechdef_wasp_WSP-1A,230,,230,,227,,145
mechdef_flea_FLE-15,6,,6,,5,,4
mechdef_flea_FLE-4,32,,32,,32,,31
mechdef_locust_LCT-1V,152,,152,,150,,144
mechdef_locust_LCT-3V,8,,8,,8,,8
mechdef_stinger_STG-3G,46,,46,,45,,44
mechdef_urbanmech_UM-R60,73,,73,,73,,71
mechdef_javelin_JVN-10N,23,,23,,23,,22
mechdef_ostscout_OTT-7J,23,,23,,23,,0
mechdef_hermes_HER-1A,8,,8,,8,,8
mechdef_falcon_FLC-4N,5,,5,,5,,4
mechdef_spider_SDR-5V,69,,69,,73,,71
mechdef_hermes_HER-1B,0,,0,,2,,4
mechdef_firestarter_FS9-H,0,,0,,0,,5
mechdef_wasplam_WSP-105,19,,21,,25,,0
mechdef_wasplam_WSP-105M,13,,8,,17,,0
mechdef_stingerlam_STG-A5,19,,21,,25,,0
Mediums,,,,,,,
mechdef_vulcan_VL-2T,90,,88,,82,,88
mechdef_cicada_CDA-2A,33,,34,,34,,34
mechdef_kyudo_KY2-D-01,3,,3,,2,,2
mechdef_assassin_ASN-21,14,,14,,13,,14
mechdef_clint_CLNT-2-3T,3,,3,,3,,3
mechdef_hermesII_HER-2S,140,,138,,126,,91
mechdef_icarusII_ICR-1S,5,,5,,5,,8
mechdef_hermesII_HER-2M,8,,8,,7,,0
mechdef_vulcan_VL-5T,5,,5,,5,,5
mechdef_centurion_CN9-A,14,,14,,13,,14
mechdef_blackjack_BJ-1,20,,19,,18,,19
mechdef_whitworth_WTH-1,8,,8,,7,,5
mechdef_trebuchet_TBT-5S,8,,8,,7,,8
mechdef_wyvern_WVE-6N,5,,5,,5,,5
mechdef_scorpion_SCP-1N,17,,13,,11,,9
mechdef_phoenixhawk_PXH-1,140,,137,,127,,135
mechdef_hunchback_HBK-4G,92,,91,,84,,55
mechdef_hunchback_HBK-4SP,0,3025-09-01T00:00:00Z,8,,7,,8
mechdef_shadowhawk_SHD-2H,45,,44,,41,,44
mechdef_hunchback_HBK-4H,5,,5,,5,,5
mechdef_hunchback_HBK-4N,5,,5,,5,,5
mechdef_scorpion_SCP-1O,0,,0,,0,3056-01-01T00:00:00Z,1
mechdef_wolverine_WVR-6R,28,,28,,25,,28
mechdef_hunchback_HBK-4P,8,,8,,5,,5
mechdef_crab_CRB-20,5,,5,,5,,5
mechdef_hunchback_HBK-4J,5,,5,,5,,5
mechdef_dervish_DV-6M,14,,14,,13,,8
mechdef_trebuchet_TBT-5N,56,,55,,51,,44
mechdef_trebuchet_TBT-5J,28,,28,,25,,28
mechdef_griffin_GRF-1N,56,,55,,51,,55
mechdef_gladiator_GLD-3R,3,,3,,3,,3
mechdef_gladiator_GLD-4R,3,,3,,3,,3
mechdef_wolverine_WVR-5M,5,,5,,5,,5
mechdef_wolverine_WVR-6M,35,,38,,86,,99
Heavies,,,,,,,
mechdef_rifleman_RFL-3M,8,,6,,4,,4
mechdef_rifleman_RFL-3N,101,,104,,103,,152
mechdef_champion_CHP-2N,5,,5,,5,,6
mechdef_quickdraw_QKD-4G,59,,60,,46,,49
mechdef_quickdraw_QKD-5A,8,,8,,8,,9
mechdef_ostroc_OSR-2C,21,,21,,20,,9
mechdef_ostroc_OSR-2L,3,,3,,3,,0
mechdef_ostroc_OSR-2M,8,,8,,8,,6
mechdef_quickdraw_QKD-4H,8,,8,,8,,9
mechdef_ostsol_OTL-4D,47,,48,,46,,6
mechdef_ostroc_OSR-3C,3,,3,,3,,3
mechdef_orion_ON1-V,15,,15,,14,,15
mechdef_warhammer_WHM-6R,97,,99,,94,,102
mechdef_crusader_CRD-3R,146,,149,,142,,102
mechdef_orion_ON1-VA,5,,5,,5,,6
mechdef_marauder_MAD-3M,21,,21,,20,,22
mechdef_thunderbolt_TDR-5S,97,,99,,94,,102
mechdef_bombardier_BMB-10D,15,,15,,14,,9
mechdef_exterminator_EXT-4A,15,3031-01-01T00:00:00Z,0,,0,,0
mechdef_marauder_MAD-3R,8,,8,,8,,9
mechdef_guillotine_GLT-4P,3,,3,,3,,3
mechdef_catapult_CPLT-C1,3,,3,,3,,3
mechdef_grasshopper_GHR-4R,2,,2,,1,,1
mechdef_guillotine_GLT-4L,29,,30,,29,,31
mechdef_blackknight_BL-7-KNT-L,3,,3,,3,,0
mechdef_grasshopper_GHR-5H,19,,19,,7,,9
mechdef_orion_ON1-K,146,,149,,143,,153
mechdef_blackknight_BL-7-KNT,3,,3,,3,,0
mechdef_stalker_STK-4P,2,,3,,5,,6
mechdef_archer_ARC-2R,0,,0,,26,,8
Assaults,,,,,,,
mechdef_cyclops_CP-10-Z,38,,38,,36,,8
mechdef_zeus_ZEU-6Y,3,,3,,3,,3
mechdef_longbow_LGB-0W,75,,75,,75,,90
mechdef_victor_VTR-9B,19,,19,,18,,11
mechdef_banshee_BNC-3Q,11,,11,,10,,11
mechdef_longbow_LGB-0W2,28,,28,,25,,30
mechdef_banshee_BNC-3E,26,,26,,25,,27
mechdef_goliath_GOL-1H,42,,37,,27,,20
mechdef_awesome_AWS-8R,38,,38,,36,,39
mechdef_striker_STC-2C,7,,7,,25,,11
mechdef_thug_THG-10E,75,,75,,71,,78
mechdef_awesome_AWS-8V,38,,38,,36,,39
mechdef_battlemaster_BLR-1G,75,,75,,71,,78
mechdef_goliath_GOL-3M,0,,0,,0,3056-01-01T00:00:00Z,1
mechdef_cyclops_CP-11-A,0,,0,3045-01-01T00:00:00Z,4,,4
mechdef_stalker_STK-4N,26,,26,,25,,27
mechdef_stalker_STK-3F,188,,188,,178,,193
mechdef_cyclops_CP-10-Q,7,,7,,6,,7
mechdef_awesome_AWS-8T,38,,38,,36,,39
mechdef_banshee_BNC-3M,11,,11,,10,,11
mechdef_awesome_AWS-8Q,122,,122,,118,,116
mechdef_longbow_LGB-7Q,0,,0,,21,,0
mechdef_goliath_GOL-3M2,0,,0,,0,3056-01-01T00:00:00Z,1
mechdef_longbow_LGB-8C,0,,0,,31,,0
mechdef_atlas_AS7-LL,1,,1,,1,,1